team,year,host,confederation,elo_rating,win_percentage_since_last_cup,goals_scored_per_game,goals_conceded_per_game,points_per_game,previous_wc_finish,finish_stage
New Zealand,2018,0,OFC,1524.0,0.42,1.42,1.04,1.46,1.0,1.0
Austria,2022,0,UEFA,1729.0,0.56,1.09,1.15,1.79,1.0,1.0
Belgium,2022,0,UEFA,2033.0,0.73,2.65,0.7,2.3,5.0,2.0
Bosnia and Herzegovina,2022,0,UEFA,1600.0,0.19,1.19,1.61,0.87,1.0,1.0
Croatia,2022,0,UEFA,1926.0,0.47,1.85,1.29,1.62,6.0,5
Czech Republic,2022,0,UEFA,1788.0,0.51,1.66,1.29,1.66,1.0,1
England,2022,0,UEFA,1923.0,0.76,3.0,0.7,2.38,5.0,4
France,2022,0,UEFA,2073.0,0.71,2.46,0.89,2.34,7.0,6
Germany,2022,0,UEFA,1962.0,0.62,2.85,1.15,2.09,2.0,2
Netherlands,2022,0,UEFA,2003.0,0.62,2.38,0.85,2.06,1.0,4
Norway,2022,0,UEFA,1742.0,0.45,1.69,1.03,1.66,1.0,1
Portugal,2022,0,UEFA,2018.0,0.62,2.32,0.74,2.09,2.0,4
Scotland,2022,0,UEFA,1752.0,0.55,1.61,1.36,1.79,1.0,1
Spain,2022,0,UEFA,2034.0,0.61,2.36,0.78,2.11,3.0,3
Sweden,2022,0,UEFA,1747.0,0.55,1.55,0.79,1.79,4.0,1
Switzerland,2022,0,UEFA,1913.0,0.49,1.97,1.4,2.0,3.0,3
Turkey,2022,0,UEFA,1701.0,0.5,1.83,1.19,1.81,1.0,1
Argentina,2022,0,CONMEBOL,2143.0,0.63,1.83,0.74,2.17,2.0,7
Brazil,2022,0,CONMEBOL,2167.0,0.69,2.11,0.53,2.31,4.0,4
Colombia,2022,0,CONMEBOL,1896.0,0.4,1.4,1.17,1.54,3.0,1
Ecuador,2022,0,CONMEBOL,1841.0,0.35,1.38,1.26,1.32,1.0,2.0
Paraguay,2022,0,CONMEBOL,1735.0,0.21,1.12,1.45,1.0,1.0,1
Uruguay,2022,0,CONMEBOL,1926.0,0.44,1.56,1.25,1.59,4.0,2
Algeria,2022,0,CAF,1714.0,0.72,2.56,0.85,2.41,1.0,1
Cabo Verde,2022,0,CAF,1467.0,0.41,1.12,0.88,1.65,1.0,1
Congo DR,2022,0,CAF,1509.0,0.3,1.13,1.2,1.27,1.0,1
Ivory Coast,2022,0,CAF,1646.0,0.62,1.76,0.86,2.0,1.0,1
Egypt,2022,0,CAF,1639.0,0.61,1.68,0.68,2.07,2.0,1
Ghana,2022,0,CAF,1534.0,0.52,1.48,0.91,1.78,1.0,2
Morocco,2022,0,CAF,1751.0,0.65,2.0,0.72,2.15,2.0,5
Senegal,2022,0,CAF,1705.0,0.73,1.73,0.54,2.35,2.0,3
South Africa,2022,0,CAF,1548.0,0.55,1.18,0.95,1.77,1.0,1
Tunisia,2022,0,CAF,1705.0,0.62,1.65,0.78,2.05,2.0,2
Canada,2022,0,CONCACAF,1778.0,0.68,2.94,0.81,2.16,1.0,2
Mexico,2022,0,CONCACAF,1809.0,0.77,2.37,1.12,2.44,2.0,2
USA,2022,0,CONCACAF,1858.0,0.7,2.09,0.59,2.25,1.0,3
Curacao,2022,0,CONCACAF,1410.0,0.43,2.0,1.54,1.46,1.0,
Haiti,2022,0,CONCACAF,1536.0,0.48,1.8,1.36,1.56,1.0,
Panama,2022,0,CONCACAF,1542.0,0.43,1.54,1.24,1.51,1.0,
Australia,2022,0,AFC,1731.0,0.7,2.35,0.65,2.2,2.0,3
Iran,2022,0,AFC,1798.0,0.76,2.8,0.44,2.4,2.0,2
Iraq,2022,0,AFC,1564.0,0.44,1.29,0.95,1.68,1.0,1
Japan,2022,0,AFC,1799.0,0.69,2.18,0.69,2.18,2.0,3
Jordan,2022,0,AFC,1584.0,0.45,1.4,1.1,1.52,1.0,1
Korea Republic,2022,0,AFC,1788.0,0.67,1.7,0.63,2.2,2.0,3
Qatar,2022,1,AFC,1652.0,0.57,1.9,1.18,1.86,1.0,2
Saudi Arabia,2022,0,AFC,1628.0,0.53,1.56,0.83,1.78,2.0,2
Uzbekistan,2022,0,AFC,1572.0,0.48,1.65,1.23,1.48,1.0,1
New Zealand,2022,0,OFC,1528.0,0.6,1.2,1.0,1.8,1.0,1
